date, gender,trip_on_days
2019-10-01,1,59673
2019-10-01,2,21894
2019-10-01,0,5466
2019-10-02,2,19734
2019-10-02,0,4832
2019-10-02,1,55255
2019-10-03,0,1692
2019-10-03,1,28944
2019-10-03,2,8431
2019-10-04,1,57425
2019-10-04,2,20505
2019-10-04,0,5430
2019-10-05,1,41997
2019-10-05,2,18578
2019-10-05,0,8556
2019-10-06,1,37283
2019-10-06,2,16101
2019-10-06,0,7148
2019-10-07,1,53593
2019-10-07,0,4676
2019-10-07,2,19054
2019-10-08,0,4396
2019-10-08,2,19592
2019-10-08,1,56581
2019-10-09,1,36975
2019-10-09,2,11586
2019-10-09,0,1846
2019-10-10,1,59317
2019-10-10,0,5099
2019-10-10,2,20440
2019-10-11,0,5205
2019-10-11,1,55226
2019-10-11,2,18938
2019-10-12,0,9745
2019-10-12,1,42613
2019-10-12,2,18393
2019-10-13,1,39640
2019-10-13,0,10326
2019-10-13,2,17650
2019-10-14,2,19319
2019-10-14,1,51055
2019-10-14,0,7256
2019-10-15,1,57663
2019-10-15,2,20605
2019-10-15,0,5077
2019-10-16,0,2042
2019-10-16,1,31466
2019-10-16,2,10548
2019-10-17,1,48838
2019-10-17,2,15176
2019-10-17,0,3308
2019-10-18,1,51677
2019-10-18,2,17208
2019-10-18,0,4704
2019-10-19,0,8194
2019-10-19,1,40875
2019-10-19,2,17810
2019-10-20,2,7073
2019-10-20,1,18918
2019-10-20,0,2560
2019-10-21,2,19231
2019-10-21,0,5295
2019-10-21,1,53915
2019-10-22,0,2434
2019-10-22,2,13100
2019-10-22,1,39272
2019-10-23,1,56230
2019-10-23,0,4599
2019-10-23,2,19651
2019-10-24,0,5462
2019-10-24,1,57722
2019-10-24,2,20247
2019-10-25,2,19523
2019-10-25,1,55967
2019-10-25,0,5662
2019-10-26,0,8117
2019-10-26,1,41628
2019-10-26,2,18328
2019-10-27,1,18622
2019-10-27,2,6187
2019-10-27,0,1949
2019-10-28,0,4885
2019-10-28,1,53167
2019-10-28,2,18690
2019-10-29,2,12252
2019-10-29,1,38714
2019-10-29,0,2222
2019-10-30,0,3183
2019-10-30,1,49416
2019-10-30,2,16040
2019-10-31,1,36267
2019-10-31,0,2374
2019-10-31,2,11015
