date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-07-01,1049.0,00:17:29
2019-07-02,987.0,00:16:27
2019-07-03,1055.0,00:17:35
2019-07-04,1668.0,00:27:48
2019-07-05,1387.0,00:23:07
2019-07-06,1327.0,00:22:07
2019-07-07,1314.0,00:21:54
2019-07-08,977.0,00:16:17
2019-07-09,999.0,00:16:39
2019-07-10,928.0,00:15:28
2019-07-11,1016.0,00:16:56
2019-07-12,1045.0,00:17:25
2019-07-13,1340.0,00:22:20
2019-07-14,1196.0,00:19:56
2019-07-15,960.0,00:16:00
2019-07-16,950.0,00:15:50
2019-07-17,902.0,00:15:02
2019-07-18,827.0,00:13:47
2019-07-19,976.0,00:16:16
2019-07-20,1121.0,00:18:41
2019-07-21,1080.0,00:18:00
2019-07-22,879.0,00:14:39
2019-07-23,856.0,00:14:16
2019-07-24,933.0,00:15:33
2019-07-25,944.0,00:15:44
2019-07-26,946.0,00:15:46
2019-07-27,1176.0,00:19:36
2019-07-28,1077.0,00:17:57
2019-07-29,901.0,00:15:01
2019-07-30,865.0,00:14:25
2019-07-31,826.0,00:13:46
