date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-12-01,1,695.0,00:11:35,7830
2019-12-01,0,2710.0,00:45:10,508
2019-12-01,2,755.0,00:12:35,2421
2019-12-02,2,712.0,00:11:52,3498
2019-12-02,0,867.0,00:14:27,533
2019-12-02,1,663.0,00:11:03,13987
2019-12-03,2,791.0,00:13:11,8388
2019-12-03,0,891.0,00:14:51,1186
2019-12-03,1,677.0,00:11:17,29656
2019-12-04,2,749.0,00:12:29,10501
2019-12-04,0,1326.0,00:22:06,1465
2019-12-04,1,781.0,00:13:01,35418
2019-12-05,2,838.0,00:13:58,10919
2019-12-05,1,776.0,00:12:56,36506
2019-12-05,0,1434.0,00:23:54,1602
2019-12-06,2,780.0,00:13:00,11560
2019-12-06,1,803.0,00:13:23,38120
2019-12-06,0,1333.0,00:22:13,1927
2019-12-07,1,873.0,00:14:33,23945
2019-12-07,2,821.0,00:13:41,8442
2019-12-07,0,2183.0,00:36:23,2123
2019-12-08,0,1941.0,00:32:21,2100
2019-12-08,1,742.0,00:12:22,22144
2019-12-08,2,800.0,00:13:20,8064
2019-12-09,2,705.0,00:11:45,3167
2019-12-09,1,652.0,00:10:52,11543
2019-12-09,0,6946.0,01:55:46,511
2019-12-10,0,1359.0,00:22:39,1338
2019-12-10,1,726.0,00:12:06,31713
2019-12-10,2,768.0,00:12:48,9384
2019-12-11,0,1557.0,00:25:57,1263
2019-12-11,1,728.0,00:12:08,28783
2019-12-11,2,780.0,00:13:00,8134
2019-12-12,0,1031.0,00:17:11,1395
2019-12-12,2,728.0,00:12:08,9878
2019-12-12,1,816.0,00:13:36,34087
2019-12-13,2,1016.0,00:16:56,7386
2019-12-13,1,758.0,00:12:38,24455
2019-12-13,0,2023.0,00:33:43,1120
2019-12-14,0,1667.0,00:27:47,1659
2019-12-14,2,946.0,00:15:46,7258
2019-12-14,1,754.0,00:12:34,21346
2019-12-15,0,2423.0,00:40:23,1961
2019-12-15,1,826.0,00:13:46,23613
2019-12-15,2,814.0,00:13:34,8312
2019-12-16,1,699.0,00:11:39,31312
2019-12-16,0,1677.0,00:27:57,1301
2019-12-16,2,1043.0,00:17:23,9104
2019-12-17,1,670.0,00:11:10,14971
2019-12-17,0,824.0,00:13:44,536
2019-12-17,2,654.0,00:10:54,3796
2019-12-18,0,1591.0,00:26:31,1077
2019-12-18,2,729.0,00:12:09,7929
2019-12-18,1,745.0,00:12:25,28892
2019-12-19,1,661.0,00:11:01,23015
2019-12-19,0,894.0,00:14:54,809
2019-12-19,2,782.0,00:13:02,5627
2019-12-20,1,683.0,00:11:23,26070
2019-12-20,0,1703.0,00:28:23,1096
2019-12-20,2,829.0,00:13:49,7043
2019-12-21,0,1410.0,00:23:30,1166
2019-12-21,2,735.0,00:12:15,5744
2019-12-21,1,689.0,00:11:29,17337
2019-12-22,2,848.0,00:14:08,5919
2019-12-22,1,724.0,00:12:04,16359
2019-12-22,0,1839.0,00:30:39,1448
2019-12-23,0,2384.0,00:39:44,2096
2019-12-23,2,865.0,00:14:25,8054
2019-12-23,1,796.0,00:13:16,27214
2019-12-24,0,1735.0,00:28:55,1486
2019-12-24,1,778.0,00:12:58,18432
2019-12-24,2,800.0,00:13:20,5976
2019-12-25,0,2138.0,00:35:38,2074
2019-12-25,2,1075.0,00:17:55,2964
2019-12-25,1,935.0,00:15:35,8044
2019-12-26,0,1544.0,00:25:44,1812
2019-12-26,2,886.0,00:14:46,5384
2019-12-26,1,741.0,00:12:21,18030
2019-12-27,2,1248.0,00:20:48,6926
2019-12-27,0,2014.0,00:33:34,2511
2019-12-27,1,787.0,00:13:07,22371
2019-12-28,0,2070.0,00:34:30,3440
2019-12-28,1,879.0,00:14:39,18101
2019-12-28,2,973.0,00:16:13,6979
2019-12-29,1,830.0,00:13:50,11463
2019-12-29,0,2618.0,00:43:38,2030
2019-12-29,2,1185.0,00:19:45,4475
2019-12-30,0,2091.0,00:34:51,479
2019-12-30,1,632.0,00:10:32,9283
2019-12-30,2,770.0,00:12:50,2376
2019-12-31,2,961.0,00:16:01,7288
2019-12-31,1,781.0,00:13:01,21844
2019-12-31,0,2481.0,00:41:21,2378
