date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-06-01,1,984.0,00:16:24,45072
2019-06-01,0,2321.0,00:38:41,11548
2019-06-01,2,1343.0,00:22:23,19799
2019-06-02,2,1444.0,00:24:04,17946
2019-06-02,0,2578.0,00:42:58,9399
2019-06-02,1,1095.0,00:18:15,39953
2019-06-03,2,983.0,00:16:23,18897
2019-06-03,0,3028.0,00:50:28,5554
2019-06-03,1,965.0,00:16:05,53243
2019-06-04,2,1072.0,00:17:52,20737
2019-06-04,0,1772.0,00:29:32,5789
2019-06-04,1,811.0,00:13:31,56773
2019-06-05,1,828.0,00:13:48,54708
2019-06-05,0,1707.0,00:28:27,4591
2019-06-05,2,1118.0,00:18:38,19506
2019-06-06,0,2318.0,00:38:38,5565
2019-06-06,2,1081.0,00:18:01,19860
2019-06-06,1,835.0,00:13:55,55931
2019-06-07,2,1139.0,00:18:59,20565
2019-06-07,1,1133.0,00:18:53,55686
2019-06-07,0,2848.0,00:47:28,6699
2019-06-08,2,1326.0,00:22:06,20375
2019-06-08,1,1109.0,00:18:29,45281
2019-06-08,0,2361.0,00:39:21,12440
2019-06-09,2,1259.0,00:20:59,19904
2019-06-09,1,1018.0,00:16:58,42687
2019-06-09,0,2334.0,00:38:54,11381
2019-06-10,1,714.0,00:11:54,27443
2019-06-10,0,3891.0,01:04:51,1504
2019-06-10,2,790.0,00:13:10,8077
2019-06-11,2,1057.0,00:17:37,19155
2019-06-11,0,2894.0,00:48:14,4824
2019-06-11,1,1043.0,00:17:23,54073
2019-06-12,0,2042.0,00:34:02,5411
2019-06-12,2,1044.0,00:17:24,21202
2019-06-12,1,937.0,00:15:37,58429
2019-06-13,2,973.0,00:16:13,11304
2019-06-13,0,1794.0,00:29:54,2684
2019-06-13,1,840.0,00:14:00,35207
2019-06-14,1,821.0,00:13:41,54752
2019-06-14,2,996.0,00:16:36,19648
2019-06-14,0,3101.0,00:51:41,6213
2019-06-15,2,1249.0,00:20:49,19180
2019-06-15,0,2723.0,00:45:23,11242
2019-06-15,1,1151.0,00:19:11,43477
2019-06-16,2,1264.0,00:21:04,14511
2019-06-16,0,2769.0,00:46:09,7028
2019-06-16,1,962.0,00:16:02,33984
2019-06-17,2,995.0,00:16:35,17433
2019-06-17,1,831.0,00:13:51,50095
2019-06-17,0,2271.0,00:37:51,5002
2019-06-18,1,699.0,00:11:39,26635
2019-06-18,2,792.0,00:13:12,7992
2019-06-18,0,1851.0,00:30:51,1775
2019-06-19,1,806.0,00:13:26,45806
2019-06-19,2,995.0,00:16:35,14483
2019-06-19,0,2558.0,00:42:38,3385
2019-06-20,0,1854.0,00:30:54,3047
2019-06-20,2,860.0,00:14:20,13875
2019-06-20,1,798.0,00:13:18,43004
2019-06-21,2,1094.0,00:18:14,15503
2019-06-21,0,2615.0,00:43:35,5038
2019-06-21,1,862.0,00:14:22,45145
2019-06-22,1,1045.0,00:17:25,44928
2019-06-22,2,1247.0,00:20:47,20203
2019-06-22,0,2016.0,00:33:36,11481
2019-06-23,0,2297.0,00:38:17,11549
2019-06-23,2,1190.0,00:19:50,20113
2019-06-23,1,981.0,00:16:21,43884
2019-06-24,0,2111.0,00:35:11,5893
2019-06-24,2,1114.0,00:18:34,19380
2019-06-24,1,856.0,00:14:16,54755
2019-06-25,1,848.0,00:14:08,46025
2019-06-25,2,895.0,00:14:55,15910
2019-06-25,0,2745.0,00:45:45,3950
2019-06-26,0,3454.0,00:57:34,5700
2019-06-26,1,904.0,00:15:04,57332
2019-06-26,2,940.0,00:15:40,20269
2019-06-27,1,844.0,00:14:04,55941
2019-06-27,2,1025.0,00:17:05,19711
2019-06-27,0,2285.0,00:38:05,5925
2019-06-28,1,859.0,00:14:19,53155
2019-06-28,0,2650.0,00:44:10,6660
2019-06-28,2,971.0,00:16:11,18867
2019-06-29,0,2279.0,00:37:59,8286
2019-06-29,2,1120.0,00:18:40,16435
2019-06-29,1,1009.0,00:16:49,37993
2019-06-30,2,1169.0,00:19:29,16737
2019-06-30,0,2250.0,00:37:30,9122
2019-06-30,1,1079.0,00:17:59,37711
