date, gender,trip_on_days
2019-05-01,2,13604
2019-05-01,1,44482
2019-05-01,0,2811
2019-05-02,1,48317
2019-05-02,2,15963
2019-05-02,0,4421
2019-05-03,2,14259
2019-05-03,0,3773
2019-05-03,1,44373
2019-05-04,2,14103
2019-05-04,1,34596
2019-05-04,0,7324
2019-05-05,0,937
2019-05-05,1,11593
2019-05-05,2,3639
2019-05-06,1,48764
2019-05-06,2,16448
2019-05-06,0,4702
2019-05-07,2,17475
2019-05-07,1,50937
2019-05-07,0,4412
2019-05-08,2,18283
2019-05-08,0,4485
2019-05-08,1,53621
2019-05-09,1,48161
2019-05-09,0,3101
2019-05-09,2,15419
2019-05-10,1,48099
2019-05-10,0,4127
2019-05-10,2,15813
2019-05-11,2,18458
2019-05-11,0,10101
2019-05-11,1,41229
2019-05-12,2,2119
2019-05-12,0,554
2019-05-12,1,8056
2019-05-13,2,4457
2019-05-13,1,17228
2019-05-13,0,611
2019-05-14,0,1432
2019-05-14,1,31890
2019-05-14,2,9458
2019-05-15,1,52256
2019-05-15,2,17567
2019-05-15,0,4484
2019-05-16,2,18916
2019-05-16,1,53822
2019-05-16,0,5140
2019-05-17,1,49843
2019-05-17,0,5353
2019-05-17,2,16916
2019-05-18,1,42823
2019-05-18,0,11853
2019-05-18,2,18467
2019-05-19,0,11715
2019-05-19,2,18000
2019-05-19,1,40205
2019-05-20,2,18183
2019-05-20,0,5715
2019-05-20,1,50591
2019-05-21,1,54673
2019-05-21,0,5199
2019-05-21,2,19382
2019-05-22,0,5519
2019-05-22,1,56246
2019-05-22,2,20242
2019-05-23,0,3564
2019-05-23,1,39808
2019-05-23,2,13203
2019-05-24,1,49791
2019-05-24,2,18102
2019-05-24,0,6964
2019-05-25,0,10900
2019-05-25,1,33031
2019-05-25,2,15561
2019-05-26,1,27573
2019-05-26,2,12635
2019-05-26,0,9742
2019-05-27,0,12628
2019-05-27,2,16987
2019-05-27,1,36980
2019-05-28,0,3082
2019-05-28,1,42269
2019-05-28,2,14081
2019-05-29,1,39163
2019-05-29,0,3035
2019-05-29,2,12891
2019-05-30,1,37590
2019-05-30,2,11879
2019-05-30,0,3012
2019-05-31,1,55769
2019-05-31,0,7475
2019-05-31,2,20103
