date,trip_on_days
2019-11-01,70641
2019-11-02,58579
2019-11-03,52253
2019-11-04,70117
2019-11-05,73768
2019-11-06,72714
2019-11-07,56782
2019-11-08,50295
2019-11-09,37993
2019-11-10,42121
2019-11-11,64883
2019-11-12,39188
2019-11-13,43945
2019-11-14,54642
2019-11-15,59521
2019-11-16,36896
2019-11-17,32100
2019-11-18,35621
2019-11-19,57419
2019-11-20,57625
2019-11-21,62696
2019-11-22,51063
2019-11-23,40088
2019-11-24,18146
2019-11-25,58709
2019-11-26,63638
2019-11-27,51356
2019-11-28,16173
2019-11-29,23219
2019-11-30,26517
