date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-12-01,803.0,00:13:23
2019-12-02,678.0,00:11:18
2019-12-03,708.0,00:11:48
2019-12-04,791.0,00:13:11
2019-12-05,811.0,00:13:31
2019-12-06,817.0,00:13:37
2019-12-07,941.0,00:15:41
2019-12-08,834.0,00:13:54
2019-12-09,874.0,00:14:34
2019-12-10,755.0,00:12:35
2019-12-11,766.0,00:12:46
2019-12-12,803.0,00:13:23
2019-12-13,859.0,00:14:19
2019-12-14,850.0,00:14:10
2019-12-15,915.0,00:15:15
2019-12-16,804.0,00:13:24
2019-12-17,671.0,00:11:11
2019-12-18,766.0,00:12:46
2019-12-19,690.0,00:11:30
2019-12-20,746.0,00:12:26
2019-12-21,734.0,00:12:14
2019-12-22,823.0,00:13:43
2019-12-23,900.0,00:15:00
2019-12-24,838.0,00:13:58
2019-12-25,1158.0,00:19:18
2019-12-26,830.0,00:13:50
2019-12-27,984.0,00:16:24
2019-12-28,1046.0,00:17:26
2019-12-29,1120.0,00:18:40
2019-12-30,717.0,00:11:57
2019-12-31,951.0,00:15:51
