date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-09-01,1375.0,00:22:55
2019-09-02,1130.0,00:18:50
2019-09-03,1006.0,00:16:46
2019-09-04,899.0,00:14:59
2019-09-05,1003.0,00:16:43
2019-09-06,816.0,00:13:36
2019-09-07,1210.0,00:20:10
2019-09-08,1102.0,00:18:22
2019-09-09,1008.0,00:16:48
2019-09-10,893.0,00:14:53
2019-09-11,927.0,00:15:27
2019-09-12,821.0,00:13:41
2019-09-13,937.0,00:15:37
2019-09-14,1143.0,00:19:03
2019-09-15,1201.0,00:20:01
2019-09-16,983.0,00:16:23
2019-09-17,907.0,00:15:07
2019-09-18,934.0,00:15:34
2019-09-19,919.0,00:15:19
2019-09-20,935.0,00:15:35
2019-09-21,1276.0,00:21:16
2019-09-22,1223.0,00:20:23
2019-09-23,961.0,00:16:01
2019-09-24,939.0,00:15:39
2019-09-25,911.0,00:15:11
2019-09-26,871.0,00:14:31
2019-09-27,1013.0,00:16:53
2019-09-28,1149.0,00:19:09
2019-09-29,1130.0,00:18:50
2019-09-30,894.0,00:14:54
