date, gender,trip_on_days
2019-01-01,2,5133
2019-01-01,0,3025
2019-01-01,1,13804
2019-01-02,0,2035
2019-01-02,1,27937
2019-01-02,2,7825
2019-01-03,1,31237
2019-01-03,2,8903
2019-01-03,0,1536
2019-01-04,1,32615
2019-01-04,2,9502
2019-01-04,0,1805
2019-01-05,0,598
2019-01-05,1,13049
2019-01-05,2,3785
2019-01-06,1,21819
2019-01-06,2,7763
2019-01-06,0,1869
2019-01-07,1,27897
2019-01-07,0,978
2019-01-07,2,7611
2019-01-08,2,8864
2019-01-08,1,31232
2019-01-08,0,1065
2019-01-09,0,1141
2019-01-09,1,33547
2019-01-09,2,9650
2019-01-10,0,883
2019-01-10,1,30180
2019-01-10,2,7906
2019-01-11,2,6508
2019-01-11,0,799
2019-01-11,1,25498
2019-01-12,2,5855
2019-01-12,0,1046
2019-01-12,1,18227
2019-01-13,2,5356
2019-01-13,1,16534
2019-01-13,0,862
2019-01-14,0,883
2019-01-14,1,26783
2019-01-14,2,7304
2019-01-15,0,978
2019-01-15,2,8397
2019-01-15,1,29692
2019-01-16,1,30938
2019-01-16,0,987
2019-01-16,2,8424
2019-01-17,1,29943
2019-01-17,2,8020
2019-01-17,0,992
2019-01-18,0,941
2019-01-18,1,26344
2019-01-18,2,6942
2019-01-19,1,16864
2019-01-19,0,1252
2019-01-19,2,5632
2019-01-20,2,3212
2019-01-20,1,10484
2019-01-20,0,553
2019-01-21,0,294
2019-01-21,1,8147
2019-01-21,2,1845
2019-01-22,2,5703
2019-01-22,1,22133
2019-01-22,0,726
2019-01-23,1,31702
2019-01-23,0,1062
2019-01-23,2,8719
2019-01-24,1,15738
2019-01-24,0,487
2019-01-24,2,3856
2019-01-25,0,1137
2019-01-25,1,29756
2019-01-25,2,7920
2019-01-26,0,1344
2019-01-26,2,6091
2019-01-26,1,18861
2019-01-27,1,20708
2019-01-27,2,7292
2019-01-27,0,2021
2019-01-28,0,1015
2019-01-28,1,27014
2019-01-28,2,7554
2019-01-29,1,23763
2019-01-29,0,813
2019-01-29,2,6352
2019-01-30,0,627
2019-01-30,1,19710
2019-01-30,2,4804
2019-01-31,2,3299
2019-01-31,1,14960
2019-01-31,0,372
