date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-01-01,2,1053.0,00:17:33,5133
2019-01-01,0,1932.0,00:32:12,3025
2019-01-01,1,1056.0,00:17:36,13804
2019-01-02,0,1562.0,00:26:02,2035
2019-01-02,1,701.0,00:11:41,27937
2019-01-02,2,864.0,00:14:24,7825
2019-01-03,1,706.0,00:11:46,31237
2019-01-03,2,862.0,00:14:22,8903
2019-01-03,0,1523.0,00:25:23,1536
2019-01-04,1,713.0,00:11:53,32615
2019-01-04,2,822.0,00:13:42,9502
2019-01-04,0,1732.0,00:28:52,1805
2019-01-05,0,2978.0,00:49:38,598
2019-01-05,1,733.0,00:12:13,13049
2019-01-05,2,738.0,00:12:18,3785
2019-01-06,1,788.0,00:13:08,21819
2019-01-06,2,868.0,00:14:28,7763
2019-01-06,0,1751.0,00:29:11,1869
2019-01-07,1,733.0,00:12:13,27897
2019-01-07,0,1238.0,00:20:38,978
2019-01-07,2,769.0,00:12:49,7611
2019-01-08,2,1035.0,00:17:15,8864
2019-01-08,1,723.0,00:12:03,31232
2019-01-08,0,1323.0,00:22:03,1065
2019-01-09,0,4015.0,01:06:55,1141
2019-01-09,1,692.0,00:11:32,33547
2019-01-09,2,806.0,00:13:26,9650
2019-01-10,0,1631.0,00:27:11,883
2019-01-10,1,775.0,00:12:55,30180
2019-01-10,2,760.0,00:12:40,7906
2019-01-11,2,1148.0,00:19:08,6508
2019-01-11,0,2174.0,00:36:14,799
2019-01-11,1,703.0,00:11:43,25498
2019-01-12,2,784.0,00:13:04,5855
2019-01-12,0,1295.0,00:21:35,1046
2019-01-12,1,704.0,00:11:44,18227
2019-01-13,2,1059.0,00:17:39,5356
2019-01-13,1,699.0,00:11:39,16534
2019-01-13,0,2177.0,00:36:17,862
2019-01-14,0,931.0,00:15:31,883
2019-01-14,1,637.0,00:10:37,26783
2019-01-14,2,714.0,00:11:54,7304
2019-01-15,0,1163.0,00:19:23,978
2019-01-15,2,739.0,00:12:19,8397
2019-01-15,1,706.0,00:11:46,29692
2019-01-16,1,701.0,00:11:41,30938
2019-01-16,0,1903.0,00:31:43,987
2019-01-16,2,750.0,00:12:30,8424
2019-01-17,1,704.0,00:11:44,29943
2019-01-17,2,767.0,00:12:47,8020
2019-01-17,0,1844.0,00:30:44,992
2019-01-18,0,1884.0,00:31:24,941
2019-01-18,1,803.0,00:13:23,26344
2019-01-18,2,1056.0,00:17:36,6942
2019-01-19,1,687.0,00:11:27,16864
2019-01-19,0,1365.0,00:22:45,1252
2019-01-19,2,801.0,00:13:21,5632
2019-01-20,2,832.0,00:13:52,3212
2019-01-20,1,743.0,00:12:23,10484
2019-01-20,0,2265.0,00:37:45,553
2019-01-21,0,918.0,00:15:18,294
2019-01-21,1,697.0,00:11:37,8147
2019-01-21,2,743.0,00:12:23,1845
2019-01-22,2,717.0,00:11:57,5703
2019-01-22,1,672.0,00:11:12,22133
2019-01-22,0,1414.0,00:23:34,726
2019-01-23,1,702.0,00:11:42,31702
2019-01-23,0,1252.0,00:20:52,1062
2019-01-23,2,786.0,00:13:06,8719
2019-01-24,1,724.0,00:12:04,15738
2019-01-24,0,1241.0,00:20:41,487
2019-01-24,2,788.0,00:13:08,3856
2019-01-25,0,1708.0,00:28:28,1137
2019-01-25,1,672.0,00:11:12,29756
2019-01-25,2,724.0,00:12:04,7920
2019-01-26,0,2062.0,00:34:22,1344
2019-01-26,2,1043.0,00:17:23,6091
2019-01-26,1,768.0,00:12:48,18861
2019-01-27,1,754.0,00:12:34,20708
2019-01-27,2,784.0,00:13:04,7292
2019-01-27,0,1878.0,00:31:18,2021
2019-01-28,0,1172.0,00:19:32,1015
2019-01-28,1,648.0,00:10:48,27014
2019-01-28,2,798.0,00:13:18,7554
2019-01-29,1,666.0,00:11:06,23763
2019-01-29,0,1055.0,00:17:35,813
2019-01-29,2,721.0,00:12:01,6352
2019-01-30,0,1569.0,00:26:09,627
2019-01-30,1,659.0,00:10:59,19710
2019-01-30,2,825.0,00:13:45,4804
2019-01-31,2,793.0,00:13:13,3299
2019-01-31,1,608.0,00:10:08,14960
2019-01-31,0,984.0,00:16:24,372
