date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-10-01,2,1136.0,00:18:56,21894
2019-10-01,1,841.0,00:14:01,59673
2019-10-01,0,2292.0,00:38:12,5466
2019-10-02,1,827.0,00:13:47,55255
2019-10-02,0,2105.0,00:35:05,4832
2019-10-02,2,906.0,00:15:06,19734
2019-10-03,2,745.0,00:12:25,8431
2019-10-03,1,673.0,00:11:13,28944
2019-10-03,0,1290.0,00:21:30,1692
2019-10-04,1,817.0,00:13:37,57425
2019-10-04,0,1774.0,00:29:34,5430
2019-10-04,2,935.0,00:15:35,20505
2019-10-05,1,896.0,00:14:56,41997
2019-10-05,2,1225.0,00:20:25,18578
2019-10-05,0,2277.0,00:37:57,8556
2019-10-06,2,1002.0,00:16:42,16101
2019-10-06,1,856.0,00:14:16,37283
2019-10-06,0,2125.0,00:35:25,7148
2019-10-07,0,1647.0,00:27:27,4676
2019-10-07,1,820.0,00:13:40,53593
2019-10-07,2,891.0,00:14:51,19054
2019-10-08,1,781.0,00:13:01,56581
2019-10-08,2,860.0,00:14:20,19592
2019-10-08,0,1486.0,00:24:46,4396
2019-10-09,2,750.0,00:12:30,11586
2019-10-09,1,718.0,00:11:58,36975
2019-10-09,0,2083.0,00:34:43,1846
2019-10-10,0,1367.0,00:22:47,5099
2019-10-10,1,763.0,00:12:43,59317
2019-10-10,2,953.0,00:15:53,20440
2019-10-11,2,883.0,00:14:43,18938
2019-10-11,1,798.0,00:13:18,55226
2019-10-11,0,1853.0,00:30:53,5205
2019-10-12,0,2151.0,00:35:51,9745
2019-10-12,1,923.0,00:15:23,42613
2019-10-12,2,1071.0,00:17:51,18393
2019-10-13,1,946.0,00:15:46,39640
2019-10-13,2,1173.0,00:19:33,17650
2019-10-13,0,1897.0,00:31:37,10326
2019-10-14,0,1756.0,00:29:16,7256
2019-10-14,2,927.0,00:15:27,19319
2019-10-14,1,799.0,00:13:19,51055
2019-10-15,1,784.0,00:13:04,57663
2019-10-15,2,864.0,00:14:24,20605
2019-10-15,0,1560.0,00:26:00,5077
2019-10-16,0,1882.0,00:31:22,2042
2019-10-16,1,788.0,00:13:08,31466
2019-10-16,2,792.0,00:13:12,10548
2019-10-17,1,811.0,00:13:31,48838
2019-10-17,2,810.0,00:13:30,15176
2019-10-17,0,1504.0,00:25:04,3308
2019-10-18,1,772.0,00:12:52,51677
2019-10-18,2,962.0,00:16:02,17208
2019-10-18,0,1543.0,00:25:43,4704
2019-10-19,0,1939.0,00:32:19,8194
2019-10-19,1,997.0,00:16:37,40875
2019-10-19,2,1093.0,00:18:13,17810
2019-10-20,2,955.0,00:15:55,7073
2019-10-20,1,849.0,00:14:09,18918
2019-10-20,0,1796.0,00:29:56,2560
2019-10-21,2,945.0,00:15:45,19231
2019-10-21,0,1647.0,00:27:27,5295
2019-10-21,1,798.0,00:13:18,53915
2019-10-22,0,1223.0,00:20:23,2434
2019-10-22,2,818.0,00:13:38,13100
2019-10-22,1,715.0,00:11:55,39272
2019-10-23,1,794.0,00:13:14,56230
2019-10-23,0,1981.0,00:33:01,4599
2019-10-23,2,899.0,00:14:59,19651
2019-10-24,0,1517.0,00:25:17,5462
2019-10-24,1,799.0,00:13:19,57722
2019-10-24,2,875.0,00:14:35,20247
2019-10-25,2,991.0,00:16:31,19523
2019-10-25,1,806.0,00:13:26,55967
2019-10-25,0,2011.0,00:33:31,5662
2019-10-26,0,1901.0,00:31:41,8117
2019-10-26,1,900.0,00:15:00,41628
2019-10-26,2,1069.0,00:17:49,18328
2019-10-27,1,819.0,00:13:39,18622
2019-10-27,2,875.0,00:14:35,6187
2019-10-27,0,1777.0,00:29:37,1949
2019-10-28,0,1659.0,00:27:39,4885
2019-10-28,1,759.0,00:12:39,53167
2019-10-28,2,864.0,00:14:24,18690
2019-10-29,2,787.0,00:13:07,12252
2019-10-29,1,688.0,00:11:28,38714
2019-10-29,0,1065.0,00:17:45,2222
2019-10-30,0,1389.0,00:23:09,3183
2019-10-30,1,737.0,00:12:17,49416
2019-10-30,2,821.0,00:13:41,16040
2019-10-31,1,768.0,00:12:48,36267
2019-10-31,0,1963.0,00:32:43,2374
2019-10-31,2,864.0,00:14:24,11015
