date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-05-01,2,904.0,00:15:04,13604
2019-05-01,1,741.0,00:12:21,44482
2019-05-01,0,1432.0,00:23:52,2811
2019-05-02,1,844.0,00:14:04,48317
2019-05-02,2,1012.0,00:16:52,15963
2019-05-02,0,2031.0,00:33:51,4421
2019-05-03,2,1084.0,00:18:04,14259
2019-05-03,0,1812.0,00:30:12,3773
2019-05-03,1,1004.0,00:16:44,44373
2019-05-04,2,1377.0,00:22:57,14103
2019-05-04,1,1200.0,00:20:00,34596
2019-05-04,0,2365.0,00:39:25,7324
2019-05-05,0,1490.0,00:24:50,937
2019-05-05,1,964.0,00:16:04,11593
2019-05-05,2,1185.0,00:19:45,3639
2019-05-06,1,872.0,00:14:32,48764
2019-05-06,2,1108.0,00:18:28,16448
2019-05-06,0,2266.0,00:37:46,4702
2019-05-07,2,1048.0,00:17:28,17475
2019-05-07,1,889.0,00:14:49,50937
2019-05-07,0,2811.0,00:46:51,4412
2019-05-08,2,958.0,00:15:58,18283
2019-05-08,0,1622.0,00:27:02,4485
2019-05-08,1,819.0,00:13:39,53621
2019-05-09,1,774.0,00:12:54,48161
2019-05-09,0,2574.0,00:42:54,3101
2019-05-09,2,888.0,00:14:48,15419
2019-05-10,1,931.0,00:15:31,48099
2019-05-10,0,1900.0,00:31:40,4127
2019-05-10,2,925.0,00:15:25,15813
2019-05-11,2,1253.0,00:20:53,18458
2019-05-11,0,1883.0,00:31:23,10101
2019-05-11,1,1172.0,00:19:32,41229
2019-05-12,2,1821.0,00:30:21,2119
2019-05-12,0,2032.0,00:33:52,554
2019-05-12,1,716.0,00:11:56,8056
2019-05-13,2,1219.0,00:20:19,4457
2019-05-13,1,733.0,00:12:13,17228
2019-05-13,0,1015.0,00:16:55,611
2019-05-14,0,3056.0,00:50:56,1432
2019-05-14,1,758.0,00:12:38,31890
2019-05-14,2,924.0,00:15:24,9458
2019-05-15,1,839.0,00:13:59,52256
2019-05-15,2,1180.0,00:19:40,17567
2019-05-15,0,1521.0,00:25:21,4484
2019-05-16,2,1043.0,00:17:23,18916
2019-05-16,1,866.0,00:14:26,53822
2019-05-16,0,1506.0,00:25:06,5140
2019-05-17,1,914.0,00:15:14,49843
2019-05-17,0,2787.0,00:46:27,5353
2019-05-17,2,970.0,00:16:10,16916
2019-05-18,1,1064.0,00:17:44,42823
2019-05-18,0,1853.0,00:30:53,11853
2019-05-18,2,1237.0,00:20:37,18467
2019-05-19,0,2280.0,00:38:00,11715
2019-05-19,2,1275.0,00:21:15,18000
2019-05-19,1,998.0,00:16:38,40205
2019-05-20,2,996.0,00:16:36,18183
2019-05-20,0,1560.0,00:26:00,5715
2019-05-20,1,908.0,00:15:08,50591
2019-05-21,1,925.0,00:15:25,54673
2019-05-21,0,2454.0,00:40:54,5199
2019-05-21,2,1080.0,00:18:00,19382
2019-05-22,0,2464.0,00:41:04,5519
2019-05-22,1,949.0,00:15:49,56246
2019-05-22,2,1000.0,00:16:40,20242
2019-05-23,0,2140.0,00:35:40,3564
2019-05-23,1,860.0,00:14:20,39808
2019-05-23,2,963.0,00:16:03,13203
2019-05-24,1,920.0,00:15:20,49791
2019-05-24,2,1274.0,00:21:14,18102
2019-05-24,0,3041.0,00:50:41,6964
2019-05-25,0,2536.0,00:42:16,10900
2019-05-25,1,1123.0,00:18:43,33031
2019-05-25,2,1278.0,00:21:18,15561
2019-05-26,1,1180.0,00:19:40,27573
2019-05-26,2,1352.0,00:22:32,12635
2019-05-26,0,2776.0,00:46:16,9742
2019-05-27,0,2300.0,00:38:20,12628
2019-05-27,2,1313.0,00:21:53,16987
2019-05-27,1,1036.0,00:17:16,36980
2019-05-28,0,2020.0,00:33:40,3082
2019-05-28,1,775.0,00:12:55,42269
2019-05-28,2,949.0,00:15:49,14081
2019-05-29,1,790.0,00:13:10,39163
2019-05-29,0,2079.0,00:34:39,3035
2019-05-29,2,1030.0,00:17:10,12891
2019-05-30,1,757.0,00:12:37,37590
2019-05-30,2,858.0,00:14:18,11879
2019-05-30,0,2240.0,00:37:20,3012
2019-05-31,1,917.0,00:15:17,55769
2019-05-31,0,1778.0,00:29:38,7475
2019-05-31,2,1089.0,00:18:09,20103
