date, gender,trip_on_days
2019-02-01,2,4712
2019-02-01,1,19692
2019-02-01,0,578
2019-02-02,2,4923
2019-02-02,0,893
2019-02-02,1,16183
2019-02-03,2,7754
2019-02-03,1,22246
2019-02-03,0,1932
2019-02-04,1,34230
2019-02-04,0,1883
2019-02-04,2,10261
2019-02-05,1,39492
2019-02-05,0,2413
2019-02-05,2,12256
2019-02-06,0,1301
2019-02-06,2,8485
2019-02-06,1,29427
2019-02-07,1,32646
2019-02-07,2,9200
2019-02-07,0,1331
2019-02-08,0,1197
2019-02-08,2,7378
2019-02-08,1,27879
2019-02-09,1,17201
2019-02-09,0,998
2019-02-09,2,5566
2019-02-10,0,1203
2019-02-10,1,17205
2019-02-10,2,5723
2019-02-11,1,29363
2019-02-11,2,8170
2019-02-11,0,1103
2019-02-12,0,342
2019-02-12,2,3024
2019-02-12,1,12488
2019-02-13,1,27166
2019-02-13,0,838
2019-02-13,2,6937
2019-02-14,1,31468
2019-02-14,2,8836
2019-02-14,0,1346
2019-02-15,2,9990
2019-02-15,0,1941
2019-02-15,1,34932
2019-02-16,0,2598
2019-02-16,1,21002
2019-02-16,2,7434
2019-02-17,0,1938
2019-02-17,2,5714
2019-02-17,1,16385
2019-02-18,0,1147
2019-02-18,2,5784
2019-02-18,1,18896
2019-02-19,0,1012
2019-02-19,2,7144
2019-02-19,1,26520
2019-02-20,1,15946
2019-02-20,0,521
2019-02-20,2,3959
2019-02-21,0,1513
2019-02-21,2,8149
2019-02-21,1,29837
2019-02-22,0,1692
2019-02-22,1,31329
2019-02-22,2,8773
2019-02-23,2,7614
2019-02-23,1,22138
2019-02-23,0,1856
2019-02-24,0,1221
2019-02-24,1,17297
2019-02-24,2,5754
2019-02-25,2,6914
2019-02-25,0,1020
2019-02-25,1,26282
2019-02-26,2,7692
2019-02-26,1,28801
2019-02-26,0,1023
2019-02-27,0,871
2019-02-27,1,28088
2019-02-27,2,7516
2019-02-28,2,7850
2019-02-28,1,29316
2019-02-28,0,1057
