date, gender,trip_on_days
2019-12-01,1,7830
2019-12-01,0,508
2019-12-01,2,2421
2019-12-02,2,3498
2019-12-02,0,533
2019-12-02,1,13987
2019-12-03,2,8388
2019-12-03,0,1186
2019-12-03,1,29656
2019-12-04,2,10501
2019-12-04,0,1465
2019-12-04,1,35418
2019-12-05,2,10919
2019-12-05,1,36506
2019-12-05,0,1602
2019-12-06,2,11560
2019-12-06,1,38120
2019-12-06,0,1927
2019-12-07,1,23945
2019-12-07,2,8442
2019-12-07,0,2123
2019-12-08,0,2100
2019-12-08,1,22144
2019-12-08,2,8064
2019-12-09,2,3167
2019-12-09,1,11543
2019-12-09,0,511
2019-12-10,0,1338
2019-12-10,1,31713
2019-12-10,2,9384
2019-12-11,0,1263
2019-12-11,1,28783
2019-12-11,2,8134
2019-12-12,0,1395
2019-12-12,2,9878
2019-12-12,1,34087
2019-12-13,2,7386
2019-12-13,1,24455
2019-12-13,0,1120
2019-12-14,0,1659
2019-12-14,2,7258
2019-12-14,1,21346
2019-12-15,0,1961
2019-12-15,1,23613
2019-12-15,2,8312
2019-12-16,1,31312
2019-12-16,0,1301
2019-12-16,2,9104
2019-12-17,1,14971
2019-12-17,0,536
2019-12-17,2,3796
2019-12-18,0,1077
2019-12-18,2,7929
2019-12-18,1,28892
2019-12-19,1,23015
2019-12-19,0,809
2019-12-19,2,5627
2019-12-20,1,26070
2019-12-20,0,1096
2019-12-20,2,7043
2019-12-21,0,1166
2019-12-21,2,5744
2019-12-21,1,17337
2019-12-22,2,5919
2019-12-22,1,16359
2019-12-22,0,1448
2019-12-23,0,2096
2019-12-23,2,8054
2019-12-23,1,27214
2019-12-24,0,1486
2019-12-24,1,18432
2019-12-24,2,5976
2019-12-25,0,2074
2019-12-25,2,2964
2019-12-25,1,8044
2019-12-26,0,1812
2019-12-26,2,5384
2019-12-26,1,18030
2019-12-27,2,6926
2019-12-27,0,2511
2019-12-27,1,22371
2019-12-28,0,3440
2019-12-28,1,18101
2019-12-28,2,6979
2019-12-29,1,11463
2019-12-29,0,2030
2019-12-29,2,4475
2019-12-30,0,479
2019-12-30,1,9283
2019-12-30,2,2376
2019-12-31,2,7288
2019-12-31,1,21844
2019-12-31,0,2378
