date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-04-01,0,2816.0,00:46:56,2067
2019-04-01,2,928.0,00:15:28,11107
2019-04-01,1,769.0,00:12:49,38217
2019-04-02,1,717.0,00:11:57,42981
2019-04-02,2,898.0,00:14:58,12822
2019-04-02,0,1313.0,00:21:53,2088
2019-04-03,0,1986.0,00:33:06,3358
2019-04-03,2,1037.0,00:17:17,15221
2019-04-03,1,894.0,00:14:54,49332
2019-04-04,2,976.0,00:16:16,14715
2019-04-04,1,818.0,00:13:38,48480
2019-04-04,0,2097.0,00:34:57,3201
2019-04-05,2,723.0,00:12:03,7074
2019-04-05,0,1412.0,00:23:32,1122
2019-04-05,1,805.0,00:13:25,26263
2019-04-06,2,1216.0,00:20:16,16603
2019-04-06,1,1081.0,00:18:01,40363
2019-04-06,0,2733.0,00:45:33,9563
2019-04-07,0,2607.0,00:43:27,8592
2019-04-07,1,1189.0,00:19:49,39692
2019-04-07,2,1406.0,00:23:26,16425
2019-04-08,2,1274.0,00:21:14,16171
2019-04-08,0,2955.0,00:49:15,4494
2019-04-08,1,1049.0,00:17:29,49835
2019-04-09,1,941.0,00:15:41,43782
2019-04-09,2,947.0,00:15:47,13056
2019-04-09,0,1473.0,00:24:33,2489
2019-04-10,0,2212.0,00:36:52,3462
2019-04-10,2,1078.0,00:17:58,16344
2019-04-10,1,971.0,00:16:11,51171
2019-04-11,2,977.0,00:16:17,13855
2019-04-11,1,872.0,00:14:32,45698
2019-04-11,0,1477.0,00:24:37,2861
2019-04-12,0,1796.0,00:29:56,3437
2019-04-12,1,917.0,00:15:17,41959
2019-04-12,2,1132.0,00:18:52,12602
2019-04-13,1,1255.0,00:20:55,42861
2019-04-13,0,2583.0,00:43:03,10098
2019-04-13,2,1542.0,00:25:42,18533
2019-04-14,1,1259.0,00:20:59,35644
2019-04-14,2,1557.0,00:25:57,15306
2019-04-14,0,2746.0,00:45:46,7520
2019-04-15,1,983.0,00:16:23,33475
2019-04-15,0,1754.0,00:29:14,2218
2019-04-15,2,1356.0,00:22:36,9961
2019-04-16,2,1035.0,00:17:15,14695
2019-04-16,1,980.0,00:16:20,44765
2019-04-16,0,2193.0,00:36:33,3856
2019-04-17,1,887.0,00:14:47,46030
2019-04-17,0,2536.0,00:42:16,4153
2019-04-17,2,1157.0,00:19:17,15055
2019-04-18,2,1068.0,00:17:48,13724
2019-04-18,0,2050.0,00:34:10,3505
2019-04-18,1,860.0,00:14:20,44326
2019-04-19,2,964.0,00:16:04,15083
2019-04-19,0,2771.0,00:46:11,6703
2019-04-19,1,868.0,00:14:28,43147
2019-04-20,2,1093.0,00:18:13,8787
2019-04-20,1,930.0,00:15:30,23476
2019-04-20,0,1958.0,00:32:38,4521
2019-04-21,0,2060.0,00:34:20,9072
2019-04-21,2,1232.0,00:20:32,12710
2019-04-21,1,985.0,00:16:25,30083
2019-04-22,1,774.0,00:12:54,31490
2019-04-22,0,1818.0,00:30:18,2628
2019-04-22,2,1139.0,00:18:59,9991
2019-04-23,0,1942.0,00:32:22,6898
2019-04-23,2,1086.0,00:18:06,17694
2019-04-23,1,864.0,00:14:24,50842
2019-04-24,2,1128.0,00:18:48,18189
2019-04-24,0,2252.0,00:37:32,6872
2019-04-24,1,875.0,00:14:35,52662
2019-04-25,1,776.0,00:12:56,42618
2019-04-25,0,1791.0,00:29:51,4713
2019-04-25,2,988.0,00:16:28,13490
2019-04-26,0,1726.0,00:28:46,1751
2019-04-26,2,876.0,00:14:36,7608
2019-04-26,1,752.0,00:12:32,27756
2019-04-27,0,1899.0,00:31:39,6946
2019-04-27,1,961.0,00:16:01,35334
2019-04-27,2,1105.0,00:18:25,14154
2019-04-28,1,809.0,00:13:29,27848
2019-04-28,2,916.0,00:15:16,9916
2019-04-28,0,2045.0,00:34:05,3436
2019-04-29,0,1524.0,00:25:24,3591
2019-04-29,1,740.0,00:12:20,43258
2019-04-29,2,947.0,00:15:47,13940
2019-04-30,0,1725.0,00:28:45,3043
2019-04-30,1,753.0,00:12:33,45163
2019-04-30,2,865.0,00:14:25,14454
