date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-02-01,2,1181.0,00:19:41,4712
2019-02-01,1,704.0,00:11:44,19692
2019-02-01,0,3262.0,00:54:22,578
2019-02-02,2,747.0,00:12:27,4923
2019-02-02,0,1589.0,00:26:29,893
2019-02-02,1,717.0,00:11:57,16183
2019-02-03,2,987.0,00:16:27,7754
2019-02-03,1,791.0,00:13:11,22246
2019-02-03,0,1992.0,00:33:12,1932
2019-02-04,1,758.0,00:12:38,34230
2019-02-04,0,2642.0,00:44:02,1883
2019-02-04,2,989.0,00:16:29,10261
2019-02-05,1,859.0,00:14:19,39492
2019-02-05,0,1628.0,00:27:08,2413
2019-02-05,2,1027.0,00:17:07,12256
2019-02-06,0,1259.0,00:20:59,1301
2019-02-06,2,862.0,00:14:22,8485
2019-02-06,1,696.0,00:11:36,29427
2019-02-07,1,688.0,00:11:28,32646
2019-02-07,2,782.0,00:13:02,9200
2019-02-07,0,1065.0,00:17:45,1331
2019-02-08,0,1471.0,00:24:31,1197
2019-02-08,2,975.0,00:16:15,7378
2019-02-08,1,736.0,00:12:16,27879
2019-02-09,1,717.0,00:11:57,17201
2019-02-09,0,3209.0,00:53:29,998
2019-02-09,2,761.0,00:12:41,5566
2019-02-10,0,2704.0,00:45:04,1203
2019-02-10,1,812.0,00:13:32,17205
2019-02-10,2,801.0,00:13:21,5723
2019-02-11,1,710.0,00:11:50,29363
2019-02-11,2,786.0,00:13:06,8170
2019-02-11,0,2631.0,00:43:51,1103
2019-02-12,0,1321.0,00:22:01,342
2019-02-12,2,733.0,00:12:13,3024
2019-02-12,1,688.0,00:11:28,12488
2019-02-13,1,751.0,00:12:31,27166
2019-02-13,0,1010.0,00:16:50,838
2019-02-13,2,803.0,00:13:23,6937
2019-02-14,1,727.0,00:12:07,31468
2019-02-14,2,794.0,00:13:14,8836
2019-02-14,0,1481.0,00:24:41,1346
2019-02-15,2,869.0,00:14:29,9990
2019-02-15,0,2816.0,00:46:56,1941
2019-02-15,1,774.0,00:12:54,34932
2019-02-16,0,2572.0,00:42:52,2598
2019-02-16,1,876.0,00:14:36,21002
2019-02-16,2,919.0,00:15:19,7434
2019-02-17,0,2843.0,00:47:23,1938
2019-02-17,2,984.0,00:16:24,5714
2019-02-17,1,745.0,00:12:25,16385
2019-02-18,0,2123.0,00:35:23,1147
2019-02-18,2,785.0,00:13:05,5784
2019-02-18,1,686.0,00:11:26,18896
2019-02-19,0,1723.0,00:28:43,1012
2019-02-19,2,755.0,00:12:35,7144
2019-02-19,1,704.0,00:11:44,26520
2019-02-20,1,704.0,00:11:44,15946
2019-02-20,0,1844.0,00:30:44,521
2019-02-20,2,738.0,00:12:18,3959
2019-02-21,0,1485.0,00:24:45,1513
2019-02-21,2,850.0,00:14:10,8149
2019-02-21,1,735.0,00:12:15,29837
2019-02-22,0,1989.0,00:33:09,1692
2019-02-22,1,702.0,00:11:42,31329
2019-02-22,2,849.0,00:14:09,8773
2019-02-23,2,815.0,00:13:35,7614
2019-02-23,1,762.0,00:12:42,22138
2019-02-23,0,2027.0,00:33:47,1856
2019-02-24,0,1642.0,00:27:22,1221
2019-02-24,1,719.0,00:11:59,17297
2019-02-24,2,916.0,00:15:16,5754
2019-02-25,2,766.0,00:12:46,6914
2019-02-25,0,1330.0,00:22:10,1020
2019-02-25,1,660.0,00:11:00,26282
2019-02-26,2,742.0,00:12:22,7692
2019-02-26,1,668.0,00:11:08,28801
2019-02-26,0,1294.0,00:21:34,1023
2019-02-27,0,1414.0,00:23:34,871
2019-02-27,1,636.0,00:10:36,28088
2019-02-27,2,757.0,00:12:37,7516
2019-02-28,2,722.0,00:12:02,7850
2019-02-28,1,656.0,00:10:56,29316
2019-02-28,0,1381.0,00:23:01,1057
