date,trip_on_days
2019-12-01,10759
2019-12-02,18018
2019-12-03,39230
2019-12-04,47384
2019-12-05,49027
2019-12-06,51607
2019-12-07,34510
2019-12-08,32308
2019-12-09,15221
2019-12-10,42435
2019-12-11,38180
2019-12-12,45360
2019-12-13,32961
2019-12-14,30263
2019-12-15,33886
2019-12-16,41717
2019-12-17,19303
2019-12-18,37898
2019-12-19,29451
2019-12-20,34209
2019-12-21,24247
2019-12-22,23726
2019-12-23,37364
2019-12-24,25894
2019-12-25,13082
2019-12-26,25226
2019-12-27,31808
2019-12-28,28520
2019-12-29,17968
2019-12-30,12138
2019-12-31,31510
