date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-03-01,0,2672.0,00:44:32,944
2019-03-01,2,893.0,00:14:53,5868
2019-03-01,1,740.0,00:12:20,23416
2019-03-02,0,1702.0,00:28:22,833
2019-03-02,1,789.0,00:13:09,13374
2019-03-02,2,865.0,00:14:25,3793
2019-03-03,2,896.0,00:14:56,5653
2019-03-03,1,753.0,00:12:33,16218
2019-03-03,0,2221.0,00:37:01,1368
2019-03-04,0,1601.0,00:26:41,1116
2019-03-04,2,1232.0,00:20:32,5582
2019-03-04,1,659.0,00:10:59,21723
2019-03-05,0,1037.0,00:17:17,1136
2019-03-05,2,746.0,00:12:26,7612
2019-03-05,1,656.0,00:10:56,28349
2019-03-06,1,623.0,00:10:23,25786
2019-03-06,2,790.0,00:13:10,6611
2019-03-06,0,2577.0,00:42:57,882
2019-03-07,0,986.0,00:16:26,959
2019-03-07,1,668.0,00:11:08,27750
2019-03-07,2,674.0,00:11:14,7198
2019-03-08,1,662.0,00:11:02,30948
2019-03-08,0,1526.0,00:25:26,1354
2019-03-08,2,781.0,00:13:01,8104
2019-03-09,2,917.0,00:15:17,9385
2019-03-09,1,894.0,00:14:54,26479
2019-03-09,0,3087.0,00:51:27,3064
2019-03-10,2,880.0,00:14:40,4092
2019-03-10,0,1377.0,00:22:57,765
2019-03-10,1,713.0,00:11:53,14040
2019-03-11,1,794.0,00:13:14,38744
2019-03-11,2,958.0,00:15:58,11323
2019-03-11,0,2523.0,00:42:03,2346
2019-03-12,1,732.0,00:12:12,35630
2019-03-12,0,1534.0,00:25:34,1611
2019-03-12,2,768.0,00:12:48,9966
2019-03-13,1,686.0,00:11:26,37556
2019-03-13,0,1441.0,00:24:01,1920
2019-03-13,2,764.0,00:12:44,10644
2019-03-14,0,1529.0,00:25:29,2430
2019-03-14,2,879.0,00:14:39,12299
2019-03-14,1,717.0,00:11:57,42737
2019-03-15,1,856.0,00:14:16,41665
2019-03-15,2,1052.0,00:17:32,12651
2019-03-15,0,2438.0,00:40:38,3190
2019-03-16,1,873.0,00:14:33,28088
2019-03-16,2,913.0,00:15:13,10235
2019-03-16,0,2297.0,00:38:17,3815
2019-03-17,0,1827.0,00:30:27,2981
2019-03-17,1,783.0,00:13:03,24604
2019-03-17,2,1050.0,00:17:30,9239
2019-03-18,1,778.0,00:12:58,34464
2019-03-18,2,928.0,00:15:28,10114
2019-03-18,0,1514.0,00:25:14,1954
2019-03-19,0,2610.0,00:43:30,2373
2019-03-19,2,873.0,00:14:33,11559
2019-03-19,1,716.0,00:11:56,39049
2019-03-20,2,1113.0,00:18:33,12156
2019-03-20,1,762.0,00:12:42,40765
2019-03-20,0,1858.0,00:30:58,2458
2019-03-21,2,679.0,00:11:19,3902
2019-03-21,0,1558.0,00:25:58,551
2019-03-21,1,757.0,00:12:37,16785
2019-03-22,2,962.0,00:16:02,7208
2019-03-22,1,805.0,00:13:25,26959
2019-03-22,0,2324.0,00:38:44,1296
2019-03-23,0,2617.0,00:43:37,2800
2019-03-23,1,849.0,00:14:09,25711
2019-03-23,2,968.0,00:16:08,8864
2019-03-24,1,942.0,00:15:42,31890
2019-03-24,2,1121.0,00:18:41,12880
2019-03-24,0,2072.0,00:34:32,5542
2019-03-25,0,1742.0,00:29:02,2376
2019-03-25,2,837.0,00:13:57,11807
2019-03-25,1,795.0,00:13:15,39268
2019-03-26,1,714.0,00:11:54,40848
2019-03-26,0,1809.0,00:30:09,2234
2019-03-26,2,817.0,00:13:37,12332
2019-03-27,2,921.0,00:15:21,12045
2019-03-27,1,765.0,00:12:45,40185
2019-03-27,0,1402.0,00:23:22,2243
2019-03-28,0,1526.0,00:25:26,2631
2019-03-28,2,973.0,00:16:13,12924
2019-03-28,1,736.0,00:12:16,42972
2019-03-29,1,912.0,00:15:12,43169
2019-03-29,0,1869.0,00:31:09,3070
2019-03-29,2,887.0,00:14:47,13066
2019-03-30,1,1090.0,00:18:10,40803
2019-03-30,0,2537.0,00:42:17,8905
2019-03-30,2,1221.0,00:20:21,16954
2019-03-31,0,1911.0,00:31:51,2430
2019-03-31,2,971.0,00:16:11,7714
2019-03-31,1,801.0,00:13:21,22618
