date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-04-01,886.0,00:14:46
2019-04-02,778.0,00:12:58
2019-04-03,980.0,00:16:20
2019-04-04,915.0,00:15:15
2019-04-05,808.0,00:13:28
2019-04-06,1352.0,00:22:32
2019-04-07,1433.0,00:23:53
2019-04-08,1222.0,00:20:22
2019-04-09,964.0,00:16:04
2019-04-10,1056.0,00:17:36
2019-04-11,923.0,00:15:23
2019-04-12,1016.0,00:16:56
2019-04-13,1517.0,00:25:17
2019-04-14,1528.0,00:25:28
2019-04-15,1102.0,00:18:22
2019-04-16,1067.0,00:17:47
2019-04-17,1054.0,00:17:34
2019-04-18,974.0,00:16:14
2019-04-19,1087.0,00:18:07
2019-04-20,1095.0,00:18:15
2019-04-21,1234.0,00:20:34
2019-04-22,919.0,00:15:19
2019-04-23,1015.0,00:16:55
2019-04-24,1056.0,00:17:36
2019-04-25,901.0,00:15:01
2019-04-26,823.0,00:13:43
2019-04-27,1113.0,00:18:33
2019-04-28,938.0,00:15:38
2019-04-29,834.0,00:13:54
2019-04-30,826.0,00:13:46
