date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-02-01,853.0,00:14:13
2019-02-02,759.0,00:12:39
2019-02-03,911.0,00:15:11
2019-02-04,885.0,00:14:45
2019-02-05,931.0,00:15:31
2019-02-06,750.0,00:12:30
2019-02-07,720.0,00:12:00
2019-02-08,808.0,00:13:28
2019-02-09,832.0,00:13:52
2019-02-10,904.0,00:15:04
2019-02-11,781.0,00:13:01
2019-02-12,710.0,00:11:50
2019-02-13,767.0,00:12:47
2019-02-14,766.0,00:12:46
2019-02-15,879.0,00:14:39
2019-02-16,1028.0,00:17:08
2019-02-17,971.0,00:16:11
2019-02-18,772.0,00:12:52
2019-02-19,745.0,00:12:25
2019-02-20,739.0,00:12:19
2019-02-21,787.0,00:13:07
2019-02-22,785.0,00:13:05
2019-02-23,849.0,00:14:09
2019-02-24,812.0,00:13:32
2019-02-25,702.0,00:11:42
2019-02-26,700.0,00:11:40
2019-02-27,680.0,00:11:20
2019-02-28,689.0,00:11:29
