date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-05-01,809.0,00:13:29
2019-05-02,959.0,00:15:59
2019-05-03,1071.0,00:17:51
2019-05-04,1397.0,00:23:17
2019-05-05,1044.0,00:17:24
2019-05-06,1021.0,00:17:01
2019-05-07,1043.0,00:17:23
2019-05-08,899.0,00:14:59
2019-05-09,884.0,00:14:44
2019-05-10,988.0,00:16:28
2019-05-11,1297.0,00:21:37
2019-05-12,1002.0,00:16:42
2019-05-13,838.0,00:13:58
2019-05-14,871.0,00:14:31
2019-05-15,961.0,00:16:01
2019-05-16,951.0,00:15:51
2019-05-17,1066.0,00:17:46
2019-05-18,1236.0,00:20:36
2019-05-19,1284.0,00:21:24
2019-05-20,980.0,00:16:20
2019-05-21,1064.0,00:17:44
2019-05-22,1064.0,00:17:44
2019-05-23,965.0,00:16:05
2019-05-24,1203.0,00:20:03
2019-05-25,1422.0,00:23:42
2019-05-26,1534.0,00:25:34
2019-05-27,1346.0,00:22:26
2019-05-28,881.0,00:14:41
2019-05-29,917.0,00:15:17
2019-05-30,865.0,00:14:25
2019-05-31,1036.0,00:17:16
