date, gender,trip_on_days
2019-11-01,2,16455
2019-11-01,1,49343
2019-11-01,0,4843
2019-11-02,0,6544
2019-11-02,2,15267
2019-11-02,1,36768
2019-11-03,1,33389
2019-11-03,2,13658
2019-11-03,0,5206
2019-11-04,2,16835
2019-11-04,1,49158
2019-11-04,0,4124
2019-11-05,1,52489
2019-11-05,2,17588
2019-11-05,0,3691
2019-11-06,0,3741
2019-11-06,2,17537
2019-11-06,1,51436
2019-11-07,2,13316
2019-11-07,1,40648
2019-11-07,0,2818
2019-11-08,2,11588
2019-11-08,0,2253
2019-11-08,1,36454
2019-11-09,0,2971
2019-11-09,2,9641
2019-11-09,1,25381
2019-11-10,2,11060
2019-11-10,1,27409
2019-11-10,0,3652
2019-11-11,0,3881
2019-11-11,1,45295
2019-11-11,2,15707
2019-11-12,1,29311
2019-11-12,2,8523
2019-11-12,0,1354
2019-11-13,1,32558
2019-11-13,2,9849
2019-11-13,0,1538
2019-11-14,2,12479
2019-11-14,0,2152
2019-11-14,1,40011
2019-11-15,2,13745
2019-11-15,1,42793
2019-11-15,0,2983
2019-11-16,0,2819
2019-11-16,2,9248
2019-11-16,1,24829
2019-11-17,2,8005
2019-11-17,0,2095
2019-11-17,1,22000
2019-11-18,2,7948
2019-11-18,0,1133
2019-11-18,1,26540
2019-11-19,1,42202
2019-11-19,0,2020
2019-11-19,2,13197
2019-11-20,1,42293
2019-11-20,2,13220
2019-11-20,0,2112
2019-11-21,1,45547
2019-11-21,0,2732
2019-11-21,2,14417
2019-11-22,1,37445
2019-11-22,2,11495
2019-11-22,0,2123
2019-11-23,2,10133
2019-11-23,0,3044
2019-11-23,1,26911
2019-11-24,0,739
2019-11-24,1,13424
2019-11-24,2,3983
2019-11-25,2,13565
2019-11-25,0,2541
2019-11-25,1,42603
2019-11-26,2,14854
2019-11-26,0,3145
2019-11-26,1,45639
2019-11-27,2,12017
2019-11-27,1,36516
2019-11-27,0,2823
2019-11-28,1,10572
2019-11-28,2,3860
2019-11-28,0,1741
2019-11-29,0,1760
2019-11-29,1,16021
2019-11-29,2,5438
2019-11-30,2,6560
2019-11-30,1,17520
2019-11-30,0,2437
