date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-06-01,1279.0,00:21:19
2019-06-02,1395.0,00:23:15
2019-06-03,1117.0,00:18:37
2019-06-04,943.0,00:15:43
2019-06-05,951.0,00:15:51
2019-06-06,997.0,00:16:37
2019-06-07,1273.0,00:21:13
2019-06-08,1365.0,00:22:45
2019-06-09,1285.0,00:21:25
2019-06-10,859.0,00:14:19
2019-06-11,1161.0,00:19:21
2019-06-12,1034.0,00:17:14
2019-06-13,923.0,00:15:23
2019-06-14,1039.0,00:17:19
2019-06-15,1415.0,00:23:35
2019-06-16,1270.0,00:21:10
2019-06-17,970.0,00:16:10
2019-06-18,776.0,00:12:56
2019-06-19,942.0,00:15:42
2019-06-20,866.0,00:14:26
2019-06-21,1051.0,00:17:31
2019-06-22,1244.0,00:20:44
2019-06-23,1238.0,00:20:38
2019-06-24,1011.0,00:16:51
2019-06-25,973.0,00:16:13
2019-06-26,1087.0,00:18:07
2019-06-27,993.0,00:16:33
2019-06-28,1038.0,00:17:18
2019-06-29,1206.0,00:20:06
2019-06-30,1271.0,00:21:11
