date, gender,trip_on_days
2019-06-01,1,45072
2019-06-01,0,11548
2019-06-01,2,19799
2019-06-02,2,17946
2019-06-02,0,9399
2019-06-02,1,39953
2019-06-03,2,18897
2019-06-03,0,5554
2019-06-03,1,53243
2019-06-04,2,20737
2019-06-04,0,5789
2019-06-04,1,56773
2019-06-05,1,54708
2019-06-05,0,4591
2019-06-05,2,19506
2019-06-06,0,5565
2019-06-06,2,19860
2019-06-06,1,55931
2019-06-07,2,20565
2019-06-07,1,55686
2019-06-07,0,6699
2019-06-08,2,20375
2019-06-08,1,45281
2019-06-08,0,12440
2019-06-09,2,19904
2019-06-09,1,42687
2019-06-09,0,11381
2019-06-10,1,27443
2019-06-10,0,1504
2019-06-10,2,8077
2019-06-11,2,19155
2019-06-11,0,4824
2019-06-11,1,54073
2019-06-12,0,5411
2019-06-12,2,21202
2019-06-12,1,58429
2019-06-13,2,11304
2019-06-13,0,2684
2019-06-13,1,35207
2019-06-14,1,54752
2019-06-14,2,19648
2019-06-14,0,6213
2019-06-15,2,19180
2019-06-15,0,11242
2019-06-15,1,43477
2019-06-16,2,14511
2019-06-16,0,7028
2019-06-16,1,33984
2019-06-17,2,17433
2019-06-17,1,50095
2019-06-17,0,5002
2019-06-18,1,26635
2019-06-18,2,7992
2019-06-18,0,1775
2019-06-19,1,45806
2019-06-19,2,14483
2019-06-19,0,3385
2019-06-20,0,3047
2019-06-20,2,13875
2019-06-20,1,43004
2019-06-21,2,15503
2019-06-21,0,5038
2019-06-21,1,45145
2019-06-22,1,44928
2019-06-22,2,20203
2019-06-22,0,11481
2019-06-23,0,11549
2019-06-23,2,20113
2019-06-23,1,43884
2019-06-24,0,5893
2019-06-24,2,19380
2019-06-24,1,54755
2019-06-25,1,46025
2019-06-25,2,15910
2019-06-25,0,3950
2019-06-26,0,5700
2019-06-26,1,57332
2019-06-26,2,20269
2019-06-27,1,55941
2019-06-27,2,19711
2019-06-27,0,5925
2019-06-28,1,53155
2019-06-28,0,6660
2019-06-28,2,18867
2019-06-29,0,8286
2019-06-29,2,16435
2019-06-29,1,37993
2019-06-30,2,16737
2019-06-30,0,9122
2019-06-30,1,37711
