date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-07-01,2,1020.0,00:17:00,19214
2019-07-01,0,2354.0,00:39:14,6063
2019-07-01,1,910.0,00:15:10,52961
2019-07-02,2,970.0,00:16:10,19147
2019-07-02,0,2667.0,00:44:27,5477
2019-07-02,1,821.0,00:13:41,53534
2019-07-03,0,2769.0,00:46:09,6132
2019-07-03,1,893.0,00:14:53,49855
2019-07-03,2,924.0,00:15:24,18236
2019-07-04,2,1558.0,00:25:58,13950
2019-07-04,1,1138.0,00:18:58,29636
2019-07-04,0,3559.0,00:59:19,9126
2019-07-05,0,3348.0,00:55:48,8127
2019-07-05,2,1181.0,00:19:41,14488
2019-07-05,1,1028.0,00:17:08,36108
2019-07-06,1,1098.0,00:18:18,29673
2019-07-06,2,1502.0,00:25:02,13180
2019-07-06,0,1882.0,00:31:22,8044
2019-07-07,0,2831.0,00:47:11,8940
2019-07-07,2,1208.0,00:20:08,16474
2019-07-07,1,986.0,00:16:26,36071
2019-07-08,2,972.0,00:16:12,16415
2019-07-08,1,860.0,00:14:20,46814
2019-07-08,0,2133.0,00:35:33,4801
2019-07-09,1,859.0,00:14:19,57170
2019-07-09,2,1129.0,00:18:49,20992
2019-07-09,0,1955.0,00:32:35,5546
2019-07-10,1,843.0,00:14:03,57705
2019-07-10,2,974.0,00:16:14,20991
2019-07-10,0,1643.0,00:27:23,5523
2019-07-11,0,3556.0,00:59:16,3149
2019-07-11,2,1062.0,00:17:42,12959
2019-07-11,1,791.0,00:13:11,38387
2019-07-12,0,2280.0,00:38:00,6222
2019-07-12,2,1117.0,00:18:37,19790
2019-07-12,1,880.0,00:14:40,55063
2019-07-13,2,1232.0,00:20:32,20183
2019-07-13,1,1076.0,00:17:56,45713
2019-07-13,0,2643.0,00:44:03,10964
2019-07-14,0,2076.0,00:34:36,9591
2019-07-14,2,1184.0,00:19:44,17724
2019-07-14,1,993.0,00:16:33,40596
2019-07-15,0,1832.0,00:30:32,5870
2019-07-15,1,841.0,00:14:01,54882
2019-07-15,2,1029.0,00:17:09,20301
2019-07-16,0,2124.0,00:35:24,5609
2019-07-16,1,823.0,00:13:43,57803
2019-07-16,2,987.0,00:16:27,21157
2019-07-17,1,790.0,00:13:10,48121
2019-07-17,2,966.0,00:16:06,16990
2019-07-17,0,1955.0,00:32:35,4058
2019-07-18,2,925.0,00:15:25,14274
2019-07-18,1,750.0,00:12:30,43357
2019-07-18,0,1388.0,00:23:08,3436
2019-07-19,2,1005.0,00:16:45,18317
2019-07-19,0,2114.0,00:35:14,6030
2019-07-19,1,831.0,00:13:51,50707
2019-07-20,0,2436.0,00:40:36,6442
2019-07-20,1,890.0,00:14:50,31260
2019-07-20,2,1024.0,00:17:04,12874
2019-07-21,2,949.0,00:15:49,12389
2019-07-21,1,868.0,00:14:28,30187
2019-07-21,0,2514.0,00:41:54,5622
2019-07-22,2,861.0,00:14:21,12365
2019-07-22,1,812.0,00:13:32,36800
2019-07-22,0,1720.0,00:28:40,3211
2019-07-23,2,957.0,00:15:57,15604
2019-07-23,1,739.0,00:12:19,46861
2019-07-23,0,1883.0,00:31:23,3813
2019-07-24,0,1926.0,00:32:06,6086
2019-07-24,1,823.0,00:13:43,59589
2019-07-24,2,959.0,00:15:59,21969
2019-07-25,1,811.0,00:13:31,58757
2019-07-25,2,966.0,00:16:06,21301
2019-07-25,0,2091.0,00:34:51,6382
2019-07-26,0,1728.0,00:28:48,7117
2019-07-26,2,1012.0,00:16:52,20232
2019-07-26,1,821.0,00:13:41,55528
2019-07-27,1,995.0,00:16:35,42298
2019-07-27,0,1912.0,00:31:52,10758
2019-07-27,2,1164.0,00:19:24,19189
2019-07-28,1,914.0,00:15:14,40206
2019-07-28,0,1747.0,00:29:07,9200
2019-07-28,2,1097.0,00:18:17,18262
2019-07-29,0,1577.0,00:26:17,5531
2019-07-29,1,803.0,00:13:23,53724
2019-07-29,2,980.0,00:16:20,19501
2019-07-30,2,883.0,00:14:43,19994
2019-07-30,0,1631.0,00:27:11,5275
2019-07-30,1,785.0,00:13:05,55465
2019-07-31,0,1588.0,00:26:28,3884
2019-07-31,2,843.0,00:14:03,15461
2019-07-31,1,757.0,00:12:37,46227
