date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-10-01,1007.0,00:16:47
2019-10-02,924.0,00:15:24
2019-10-03,716.0,00:11:56
2019-10-04,908.0,00:15:08
2019-10-05,1155.0,00:19:15
2019-10-06,1045.0,00:17:25
2019-10-07,887.0,00:14:47
2019-10-08,839.0,00:13:59
2019-10-09,775.0,00:12:55
2019-10-10,845.0,00:14:05
2019-10-11,887.0,00:14:47
2019-10-12,1130.0,00:18:50
2019-10-13,1150.0,00:19:10
2019-10-14,920.0,00:15:20
2019-10-15,851.0,00:14:11
2019-10-16,839.0,00:13:59
2019-10-17,845.0,00:14:05
2019-10-18,865.0,00:14:25
2019-10-19,1138.0,00:18:58
2019-10-20,961.0,00:16:01
2019-10-21,892.0,00:14:52
2019-10-22,762.0,00:12:42
2019-10-23,887.0,00:14:47
2019-10-24,865.0,00:14:25
2019-10-25,935.0,00:15:35
2019-10-26,1065.0,00:17:45
2019-10-27,902.0,00:15:02
2019-10-28,842.0,00:14:02
2019-10-29,727.0,00:12:07
2019-10-30,787.0,00:13:07
2019-10-31,847.0,00:14:07
