date,trip_on_days
2019-10-01,87033
2019-10-02,79821
2019-10-03,39067
2019-10-04,83360
2019-10-05,69131
2019-10-06,60532
2019-10-07,77323
2019-10-08,80569
2019-10-09,50407
2019-10-10,84856
2019-10-11,79369
2019-10-12,70751
2019-10-13,67616
2019-10-14,77630
2019-10-15,83345
2019-10-16,44056
2019-10-17,67322
2019-10-18,73589
2019-10-19,66879
2019-10-20,28551
2019-10-21,78441
2019-10-22,54806
2019-10-23,80480
2019-10-24,83431
2019-10-25,81152
2019-10-26,68073
2019-10-27,26758
2019-10-28,76742
2019-10-29,53188
2019-10-30,68639
2019-10-31,49656
