date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-11-01,1,752.0,00:12:32,49343
2019-11-01,2,936.0,00:15:36,16455
2019-11-01,0,2833.0,00:47:13,4843
2019-11-02,1,872.0,00:14:32,36768
2019-11-02,0,2071.0,00:34:31,6544
2019-11-02,2,1126.0,00:18:46,15267
2019-11-03,1,928.0,00:15:28,33389
2019-11-03,2,1017.0,00:16:57,13658
2019-11-03,0,1728.0,00:28:48,5206
2019-11-04,2,867.0,00:14:27,16835
2019-11-04,1,759.0,00:12:39,49158
2019-11-04,0,2238.0,00:37:18,4124
2019-11-05,1,827.0,00:13:47,52489
2019-11-05,2,827.0,00:13:47,17588
2019-11-05,0,1339.0,00:22:19,3691
2019-11-06,0,1544.0,00:25:44,3741
2019-11-06,2,831.0,00:13:51,17537
2019-11-06,1,767.0,00:12:47,51436
2019-11-07,2,780.0,00:13:00,13316
2019-11-07,1,702.0,00:11:42,40648
2019-11-07,0,1702.0,00:28:22,2818
2019-11-08,2,873.0,00:14:33,11588
2019-11-08,0,1317.0,00:21:57,2253
2019-11-08,1,743.0,00:12:23,36454
2019-11-09,1,904.0,00:15:04,25381
2019-11-09,0,1599.0,00:26:39,2971
2019-11-09,2,860.0,00:14:20,9641
2019-11-10,2,1008.0,00:16:48,11060
2019-11-10,1,779.0,00:12:59,27409
2019-11-10,0,1966.0,00:32:46,3652
2019-11-11,0,2158.0,00:35:58,3881
2019-11-11,1,743.0,00:12:23,45295
2019-11-11,2,901.0,00:15:01,15707
2019-11-12,1,664.0,00:11:04,29311
2019-11-12,2,704.0,00:11:44,8523
2019-11-12,0,916.0,00:15:16,1354
2019-11-13,1,664.0,00:11:04,32558
2019-11-13,2,711.0,00:11:51,9849
2019-11-13,0,995.0,00:16:35,1538
2019-11-14,2,771.0,00:12:51,12479
2019-11-14,0,1346.0,00:22:26,2152
2019-11-14,1,672.0,00:11:12,40011
2019-11-15,2,795.0,00:13:15,13745
2019-11-15,0,1264.0,00:21:04,2983
2019-11-15,1,704.0,00:11:44,42793
2019-11-16,0,1340.0,00:22:20,2819
2019-11-16,2,1141.0,00:19:01,9248
2019-11-16,1,743.0,00:12:23,24829
2019-11-17,2,763.0,00:12:43,8005
2019-11-17,0,1507.0,00:25:07,2095
2019-11-17,1,741.0,00:12:21,22000
2019-11-18,2,768.0,00:12:48,7948
2019-11-18,1,691.0,00:11:31,26540
2019-11-18,0,1875.0,00:31:15,1133
2019-11-19,1,716.0,00:11:56,42202
2019-11-19,0,1403.0,00:23:23,2020
2019-11-19,2,813.0,00:13:33,13197
2019-11-20,1,697.0,00:11:37,42293
2019-11-20,2,808.0,00:13:28,13220
2019-11-20,0,2203.0,00:36:43,2112
2019-11-21,1,715.0,00:11:55,45547
2019-11-21,0,1380.0,00:23:00,2732
2019-11-21,2,846.0,00:14:06,14417
2019-11-22,1,717.0,00:11:57,37445
2019-11-22,2,818.0,00:13:38,11495
2019-11-22,0,1320.0,00:22:00,2123
2019-11-23,2,871.0,00:14:31,10133
2019-11-23,0,1536.0,00:25:36,3044
2019-11-23,1,841.0,00:14:01,26911
2019-11-24,0,1216.0,00:20:16,739
2019-11-24,1,662.0,00:11:02,13424
2019-11-24,2,689.0,00:11:29,3983
2019-11-25,2,821.0,00:13:41,13565
2019-11-25,0,1456.0,00:24:16,2541
2019-11-25,1,758.0,00:12:38,42603
2019-11-26,2,817.0,00:13:37,14854
2019-11-26,0,1567.0,00:26:07,3145
2019-11-26,1,768.0,00:12:48,45639
2019-11-27,2,860.0,00:14:20,12017
2019-11-27,1,748.0,00:12:28,36516
2019-11-27,0,2340.0,00:39:00,2823
2019-11-28,1,883.0,00:14:43,10572
2019-11-28,2,878.0,00:14:38,3860
2019-11-28,0,2864.0,00:47:44,1741
2019-11-29,0,1692.0,00:28:12,1760
2019-11-29,1,707.0,00:11:47,16021
2019-11-29,2,785.0,00:13:05,5438
2019-11-30,2,896.0,00:14:56,6560
2019-11-30,1,799.0,00:13:19,17520
2019-11-30,0,2018.0,00:33:38,2437
