date,trip_on_days
2019-08-01,87703
2019-08-02,82257
2019-08-03,77283
2019-08-04,66868
2019-08-05,82391
2019-08-06,82512
2019-08-07,52193
2019-08-08,79609
2019-08-09,80280
2019-08-10,82793
2019-08-11,73365
2019-08-12,81371
2019-08-13,75001
2019-08-14,75579
2019-08-15,84873
2019-08-16,81535
2019-08-17,78117
2019-08-18,56344
2019-08-19,73961
2019-08-20,82297
2019-08-21,73023
2019-08-22,73740
2019-08-23,63765
2019-08-24,74220
2019-08-25,71898
2019-08-26,79023
2019-08-27,82738
2019-08-28,65078
2019-08-29,83266
2019-08-30,76815
2019-08-31,64237
