date, gender,trip_on_days
2019-08-01,2,21350
2019-08-01,1,60803
2019-08-01,0,5550
2019-08-02,2,20169
2019-08-02,0,6529
2019-08-02,1,55559
2019-08-03,2,20870
2019-08-03,0,11914
2019-08-03,1,44499
2019-08-04,2,17700
2019-08-04,0,9524
2019-08-04,1,39644
2019-08-05,1,55446
2019-08-05,0,6704
2019-08-05,2,20241
2019-08-06,0,5648
2019-08-06,2,20494
2019-08-06,1,56370
2019-08-07,1,37021
2019-08-07,2,12078
2019-08-07,0,3094
2019-08-08,1,54813
2019-08-08,0,5681
2019-08-08,2,19115
2019-08-09,0,6731
2019-08-09,2,19509
2019-08-09,1,54040
2019-08-10,1,46386
2019-08-10,2,22668
2019-08-10,0,13739
2019-08-11,0,11221
2019-08-11,2,19438
2019-08-11,1,42706
2019-08-12,1,54453
2019-08-12,2,20232
2019-08-12,0,6686
2019-08-13,1,51949
2019-08-13,0,4934
2019-08-13,2,18118
2019-08-14,2,18239
2019-08-14,1,52331
2019-08-14,0,5009
2019-08-15,0,6345
2019-08-15,1,57819
2019-08-15,2,20709
2019-08-16,1,54300
2019-08-16,0,7398
2019-08-16,2,19837
2019-08-17,1,44134
2019-08-17,0,12700
2019-08-17,2,21283
2019-08-18,1,33487
2019-08-18,0,7964
2019-08-18,2,14893
2019-08-19,2,18049
2019-08-19,1,50538
2019-08-19,0,5374
2019-08-20,1,55859
2019-08-20,2,20772
2019-08-20,0,5666
2019-08-21,0,5013
2019-08-21,2,17652
2019-08-21,1,50358
2019-08-22,0,5428
2019-08-22,2,17899
2019-08-22,1,50413
2019-08-23,0,5360
2019-08-23,1,43153
2019-08-23,2,15252
2019-08-24,0,10997
2019-08-24,2,19914
2019-08-24,1,43309
2019-08-25,2,19420
2019-08-25,0,10450
2019-08-25,1,42028
2019-08-26,2,19666
2019-08-26,1,53294
2019-08-26,0,6063
2019-08-27,1,56451
2019-08-27,2,20428
2019-08-27,0,5859
2019-08-28,2,15590
2019-08-28,1,45777
2019-08-28,0,3711
2019-08-29,1,56489
2019-08-29,2,20678
2019-08-29,0,6099
2019-08-30,2,19267
2019-08-30,0,7098
2019-08-30,1,50450
2019-08-31,2,16893
2019-08-31,1,36312
2019-08-31,0,11032
