date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-08-01,2,1059.0,00:17:39,21350
2019-08-01,1,892.0,00:14:52,60803
2019-08-01,0,1933.0,00:32:13,5550
2019-08-02,2,984.0,00:16:24,20169
2019-08-02,0,2515.0,00:41:55,6529
2019-08-02,1,953.0,00:15:53,55559
2019-08-03,2,1347.0,00:22:27,20870
2019-08-03,1,1055.0,00:17:35,44499
2019-08-03,0,2653.0,00:44:13,11914
2019-08-04,2,1260.0,00:21:00,17700
2019-08-04,0,2400.0,00:40:00,9524
2019-08-04,1,963.0,00:16:03,39644
2019-08-05,1,792.0,00:13:12,55446
2019-08-05,0,2192.0,00:36:32,6704
2019-08-05,2,1168.0,00:19:28,20241
2019-08-06,0,2641.0,00:44:01,5648
2019-08-06,2,944.0,00:15:44,20494
2019-08-06,1,879.0,00:14:39,56370
2019-08-07,1,733.0,00:12:13,37021
2019-08-07,2,829.0,00:13:49,12078
2019-08-07,0,2125.0,00:35:25,3094
2019-08-08,1,852.0,00:14:12,54813
2019-08-08,0,2693.0,00:44:53,5681
2019-08-08,2,978.0,00:16:18,19115
2019-08-09,0,2423.0,00:40:23,6731
2019-08-09,2,1330.0,00:22:10,19509
2019-08-09,1,855.0,00:14:15,54040
2019-08-10,1,1062.0,00:17:42,46386
2019-08-10,2,1453.0,00:24:13,22668
2019-08-10,0,2192.0,00:36:32,13739
2019-08-11,0,2340.0,00:39:00,11221
2019-08-11,2,1169.0,00:19:29,19438
2019-08-11,1,975.0,00:16:15,42706
2019-08-12,1,808.0,00:13:28,54453
2019-08-12,2,1202.0,00:20:02,20232
2019-08-12,0,2285.0,00:38:05,6686
2019-08-13,1,774.0,00:12:54,51949
2019-08-13,0,2559.0,00:42:39,4934
2019-08-13,2,1065.0,00:17:45,18118
2019-08-14,2,885.0,00:14:45,18239
2019-08-14,1,785.0,00:13:05,52331
2019-08-14,0,1587.0,00:26:27,5009
2019-08-15,0,1680.0,00:28:00,6345
2019-08-15,1,824.0,00:13:44,57819
2019-08-15,2,918.0,00:15:18,20709
2019-08-16,1,844.0,00:14:04,54300
2019-08-16,2,979.0,00:16:19,19837
2019-08-16,0,1893.0,00:31:33,7398
2019-08-17,1,1051.0,00:17:31,44134
2019-08-17,0,2777.0,00:46:17,12700
2019-08-17,2,1229.0,00:20:29,21283
2019-08-18,1,916.0,00:15:16,33487
2019-08-18,0,2901.0,00:48:21,7964
2019-08-18,2,1241.0,00:20:41,14893
2019-08-19,1,821.0,00:13:41,50538
2019-08-19,0,2022.0,00:33:42,5374
2019-08-19,2,917.0,00:15:17,18049
2019-08-20,1,796.0,00:13:16,55859
2019-08-20,2,923.0,00:15:23,20772
2019-08-20,0,2237.0,00:37:17,5666
2019-08-21,0,2099.0,00:34:59,5013
2019-08-21,2,948.0,00:15:48,17652
2019-08-21,1,764.0,00:12:44,50358
2019-08-22,0,2074.0,00:34:34,5428
2019-08-22,2,964.0,00:16:04,17899
2019-08-22,1,797.0,00:13:17,50413
2019-08-23,0,2295.0,00:38:15,5360
2019-08-23,1,820.0,00:13:40,43153
2019-08-23,2,1003.0,00:16:43,15252
2019-08-24,0,1931.0,00:32:11,10997
2019-08-24,2,1127.0,00:18:47,19914
2019-08-24,1,1042.0,00:17:22,43309
2019-08-25,2,1110.0,00:18:30,19420
2019-08-25,0,2194.0,00:36:34,10450
2019-08-25,1,1039.0,00:17:19,42028
2019-08-26,2,935.0,00:15:35,19666
2019-08-26,1,855.0,00:14:15,53294
2019-08-26,0,2197.0,00:36:37,6063
2019-08-27,1,773.0,00:12:53,56451
2019-08-27,2,912.0,00:15:12,20428
2019-08-27,0,1546.0,00:25:46,5859
2019-08-28,2,835.0,00:13:55,15590
2019-08-28,1,740.0,00:12:20,45777
2019-08-28,0,1565.0,00:26:05,3711
2019-08-29,1,829.0,00:13:49,56489
2019-08-29,2,974.0,00:16:14,20678
2019-08-29,0,1862.0,00:31:02,6099
2019-08-30,2,955.0,00:15:55,19267
2019-08-30,0,2045.0,00:34:05,7098
2019-08-30,1,921.0,00:15:21,50450
2019-08-31,2,1146.0,00:19:06,16893
2019-08-31,1,1020.0,00:17:00,36312
2019-08-31,0,1847.0,00:30:47,11032
