date,trip_on_days
2019-09-01,62667
2019-09-02,37792
2019-09-03,83716
2019-09-04,84833
2019-09-05,89656
2019-09-06,55227
2019-09-07,78220
2019-09-08,72515
2019-09-09,84809
2019-09-10,87584
2019-09-11,90448
2019-09-12,70159
2019-09-13,87636
2019-09-14,75457
2019-09-15,78968
2019-09-16,82106
2019-09-17,93117
2019-09-18,90306
2019-09-19,89655
2019-09-20,90534
2019-09-21,98755
2019-09-22,76422
2019-09-23,85489
2019-09-24,93044
2019-09-25,94015
2019-09-26,84593
2019-09-27,93268
2019-09-28,81603
2019-09-29,75753
2019-09-30,76553
