date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-01-01,1176.0,00:19:36
2019-01-02,781.0,00:13:01
2019-01-03,770.0,00:12:50
2019-01-04,778.0,00:12:58
2019-01-05,811.0,00:13:31
2019-01-06,865.0,00:14:25
2019-01-07,754.0,00:12:34
2019-01-08,806.0,00:13:26
2019-01-09,803.0,00:13:23
2019-01-10,792.0,00:13:12
2019-01-11,827.0,00:13:47
2019-01-12,748.0,00:12:28
2019-01-13,840.0,00:14:00
2019-01-14,661.0,00:11:01
2019-01-15,725.0,00:12:05
2019-01-16,741.0,00:12:21
2019-01-17,746.0,00:12:26
2019-01-18,884.0,00:14:44
2019-01-19,750.0,00:12:30
2019-01-20,822.0,00:13:42
2019-01-21,711.0,00:11:51
2019-01-22,700.0,00:11:40
2019-01-23,734.0,00:12:14
2019-01-24,749.0,00:12:29
2019-01-25,713.0,00:11:53
2019-01-26,898.0,00:14:58
2019-01-27,837.0,00:13:57
2019-01-28,695.0,00:11:35
2019-01-29,688.0,00:11:28
2019-01-30,713.0,00:11:53
2019-01-31,648.0,00:10:48
