date, gender,trip_on_days
2019-09-01,2,16550
2019-09-01,1,34265
2019-09-01,0,11852
2019-09-02,2,9502
2019-09-02,1,24140
2019-09-02,0,4150
2019-09-03,2,20884
2019-09-03,0,5827
2019-09-03,1,57005
2019-09-04,1,58718
2019-09-04,0,5092
2019-09-04,2,21023
2019-09-05,2,21868
2019-09-05,0,5822
2019-09-05,1,61966
2019-09-06,0,3013
2019-09-06,2,12688
2019-09-06,1,39526
2019-09-07,0,10443
2019-09-07,2,21265
2019-09-07,1,46512
2019-09-08,2,19945
2019-09-08,1,43509
2019-09-08,0,9061
2019-09-09,1,58011
2019-09-09,0,5528
2019-09-09,2,21270
2019-09-10,2,21814
2019-09-10,1,60095
2019-09-10,0,5675
2019-09-11,2,22914
2019-09-11,1,61895
2019-09-11,0,5639
2019-09-12,2,16837
2019-09-12,0,3721
2019-09-12,1,49601
2019-09-13,0,5909
2019-09-13,1,60513
2019-09-13,2,21214
2019-09-14,2,20432
2019-09-14,0,9361
2019-09-14,1,45664
2019-09-15,0,10637
2019-09-15,2,21549
2019-09-15,1,46782
2019-09-16,2,20221
2019-09-16,0,5530
2019-09-16,1,56355
2019-09-17,0,5562
2019-09-17,1,63907
2019-09-17,2,23648
2019-09-18,2,22632
2019-09-18,0,5310
2019-09-18,1,62364
2019-09-19,0,5726
2019-09-19,2,22351
2019-09-19,1,61578
2019-09-20,2,22739
2019-09-20,1,61127
2019-09-20,0,6668
2019-09-21,1,58414
2019-09-21,2,30015
2019-09-21,0,10326
2019-09-22,2,21054
2019-09-22,1,45280
2019-09-22,0,10088
2019-09-23,1,58720
2019-09-23,2,21448
2019-09-23,0,5321
2019-09-24,0,5469
2019-09-24,2,23542
2019-09-24,1,64033
2019-09-25,1,64458
2019-09-25,2,24020
2019-09-25,0,5537
2019-09-26,2,20674
2019-09-26,1,59103
2019-09-26,0,4816
2019-09-27,0,7159
2019-09-27,2,22894
2019-09-27,1,63215
2019-09-28,2,22132
2019-09-28,1,48720
2019-09-28,0,10751
2019-09-29,2,20840
2019-09-29,0,10516
2019-09-29,1,44397
2019-09-30,2,18894
2019-09-30,1,52183
2019-09-30,0,5476
