date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-08-01,999.0,00:16:39
2019-08-02,1085.0,00:18:05
2019-08-03,1380.0,00:23:00
2019-08-04,1247.0,00:20:47
2019-08-05,998.0,00:16:38
2019-08-06,1016.0,00:16:56
2019-08-07,838.0,00:13:58
2019-08-08,1014.0,00:16:54
2019-08-09,1102.0,00:18:22
2019-08-10,1356.0,00:22:36
2019-08-11,1235.0,00:20:35
2019-08-12,1028.0,00:17:08
2019-08-13,962.0,00:16:02
2019-08-14,863.0,00:14:23
2019-08-15,911.0,00:15:11
2019-08-16,972.0,00:16:12
2019-08-17,1380.0,00:23:00
2019-08-18,1282.0,00:21:22
2019-08-19,932.0,00:15:32
2019-08-20,927.0,00:15:27
2019-08-21,900.0,00:15:00
2019-08-22,932.0,00:15:32
2019-08-23,988.0,00:16:28
2019-08-24,1197.0,00:19:57
2019-08-25,1226.0,00:20:26
2019-08-26,978.0,00:16:18
2019-08-27,862.0,00:14:22
2019-08-28,810.0,00:13:30
2019-08-29,941.0,00:15:41
2019-08-30,1033.0,00:17:13
2019-08-31,1195.0,00:19:55
