date,trip_on_days
2019-05-01,60897
2019-05-02,68701
2019-05-03,62405
2019-05-04,56023
2019-05-05,16169
2019-05-06,69914
2019-05-07,72824
2019-05-08,76389
2019-05-09,66681
2019-05-10,68039
2019-05-11,69788
2019-05-12,10729
2019-05-13,22296
2019-05-14,42780
2019-05-15,74307
2019-05-16,77878
2019-05-17,72112
2019-05-18,73143
2019-05-19,69920
2019-05-20,74489
2019-05-21,79254
2019-05-22,82007
2019-05-23,56575
2019-05-24,74857
2019-05-25,59492
2019-05-26,49950
2019-05-27,66595
2019-05-28,59432
2019-05-29,55089
2019-05-30,52481
2019-05-31,83347
