date,trip_on_days
2019-06-01,76419
2019-06-02,67298
2019-06-03,77694
2019-06-04,83299
2019-06-05,78805
2019-06-06,81356
2019-06-07,82950
2019-06-08,78096
2019-06-09,73972
2019-06-10,37024
2019-06-11,78052
2019-06-12,85042
2019-06-13,49195
2019-06-14,80613
2019-06-15,73899
2019-06-16,55523
2019-06-17,72530
2019-06-18,36402
2019-06-19,63674
2019-06-20,59926
2019-06-21,65686
2019-06-22,76612
2019-06-23,75546
2019-06-24,80028
2019-06-25,65885
2019-06-26,83301
2019-06-27,81577
2019-06-28,78682
2019-06-29,62714
2019-06-30,63570
