date, gender,trip_on_days
2019-03-01,0,944
2019-03-01,2,5868
2019-03-01,1,23416
2019-03-02,0,833
2019-03-02,1,13374
2019-03-02,2,3793
2019-03-03,2,5653
2019-03-03,1,16218
2019-03-03,0,1368
2019-03-04,0,1116
2019-03-04,2,5582
2019-03-04,1,21723
2019-03-05,0,1136
2019-03-05,2,7612
2019-03-05,1,28349
2019-03-06,1,25786
2019-03-06,2,6611
2019-03-06,0,882
2019-03-07,0,959
2019-03-07,1,27750
2019-03-07,2,7198
2019-03-08,1,30948
2019-03-08,0,1354
2019-03-08,2,8104
2019-03-09,2,9385
2019-03-09,1,26479
2019-03-09,0,3064
2019-03-10,2,4092
2019-03-10,0,765
2019-03-10,1,14040
2019-03-11,1,38744
2019-03-11,2,11323
2019-03-11,0,2346
2019-03-12,1,35630
2019-03-12,0,1611
2019-03-12,2,9966
2019-03-13,1,37556
2019-03-13,0,1920
2019-03-13,2,10644
2019-03-14,0,2430
2019-03-14,2,12299
2019-03-14,1,42737
2019-03-15,1,41665
2019-03-15,2,12651
2019-03-15,0,3190
2019-03-16,1,28088
2019-03-16,2,10235
2019-03-16,0,3815
2019-03-17,0,2981
2019-03-17,1,24604
2019-03-17,2,9239
2019-03-18,1,34464
2019-03-18,2,10114
2019-03-18,0,1954
2019-03-19,0,2373
2019-03-19,2,11559
2019-03-19,1,39049
2019-03-20,2,12156
2019-03-20,1,40765
2019-03-20,0,2458
2019-03-21,2,3902
2019-03-21,0,551
2019-03-21,1,16785
2019-03-22,2,7208
2019-03-22,1,26959
2019-03-22,0,1296
2019-03-23,0,2800
2019-03-23,1,25711
2019-03-23,2,8864
2019-03-24,1,31890
2019-03-24,2,12880
2019-03-24,0,5542
2019-03-25,0,2376
2019-03-25,2,11807
2019-03-25,1,39268
2019-03-26,1,40848
2019-03-26,0,2234
2019-03-26,2,12332
2019-03-27,2,12045
2019-03-27,1,40185
2019-03-27,0,2243
2019-03-28,0,2631
2019-03-28,2,12924
2019-03-28,1,42972
2019-03-29,1,43169
2019-03-29,0,3070
2019-03-29,2,13066
2019-03-30,1,40803
2019-03-30,0,8905
2019-03-30,2,16954
2019-03-31,0,2430
2019-03-31,2,7714
2019-03-31,1,22618
